gates,n_gates,sizes,seed_offset,perfect_circuits,loss_target,learning_rate,depth,weights,l1_lambda,l2_lambda,dropout_rate,detailed_circuits_file
XOR,1,3,74,[20],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed74_dropout_0.01.json
XOR,1,3,75,[87],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed75_dropout_0.01.json
XOR,1,3,77,[33],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed77_dropout_0.01.json
XOR,1,3,78,[45],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed78_dropout_0.01.json
XOR,1,3,80,[13],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed80_dropout_0.01.json
XOR,1,3,81,[85],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed81_dropout_0.01.json
XOR,1,3,82,[26],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed82_dropout_0.01.json
XOR,1,3,84,[85],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed84_dropout_0.01.json
XOR,1,3,85,[43],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed85_dropout_0.01.json
XOR,1,3,86,[85],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed86_dropout_0.01.json
XOR,1,3,87,[50],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed87_dropout_0.01.json
XOR,1,3,88,[50],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed88_dropout_0.01.json
XOR,1,3,89,[51],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed89_dropout_0.01.json
XOR,1,3,90,[129],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed90_dropout_0.01.json
XOR,1,3,91,[52],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed91_dropout_0.01.json
XOR,1,3,92,[167],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed92_dropout_0.01.json
XOR,1,3,93,[34],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed93_dropout_0.01.json
XOR,1,3,94,[38],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed94_dropout_0.01.json
XOR,1,3,95,[167],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed95_dropout_0.01.json
XOR,1,3,96,[55],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed96_dropout_0.01.json
XOR,1,3,97,[21],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed97_dropout_0.01.json
XOR,1,3,98,[51],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed98_dropout_0.01.json
XOR,1,3,99,[38],0.01,0.001,2,,0.0,0.0,0.01,detailed_circuits_seed99_dropout_0.01.json
